Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530243302921408, 530243303037073, 530243303059332, 530243303061387, 530243303116794, 530243312892348, 530243312900904, 530243313084920
530243313098605, 530243313331306, 530243313366491, 530243313368565, 530243313454786, 530243323219081, 530243323224470, 530243323382172
530243323395375, 530243323576929, 530243323608651, 530243323612502, 530243323702057, 530243333446982, 530243333452556, 530243333566536
530243333578202, 530243333721830, 530243333753923, 530243333756089, 530243333838755, 530243343585735, 530243343590865, 530243343698086
530243343711678, 530243343873361, 530243343902120, 530243343905750, 530243343979564, 530243353720285, 530243353725081, 530243353830765
530243353840450, 530243353978782, 530243354006134, 530243354008522, 530243354082318, 530243363823243, 530243363828113, 530243363944871
530243363957074, 530243364130832, 530243364163109, 530243364165202, 530243364251108, 530243373977144, 530243373980014, 530243374026144
530243374030681, 530243374124568, 530243374149068, 530243374151420, 530243374200030, 530243383926141, 530243383928659, 530243383972140
530243383976992, 530243384073287, 530243384094972, 530243384096694, 530243384138323, 530243393862008, 530243393864248, 530243393905414
530243393910322, 530243393998728, 530243394018135, 530243394019858, 530243394062709, 530243403788393, 530243403790763, 530243403830022
530243403832319, 530243403919484, 530243403942743, 530243403945114, 530243403999113, 530243431254577, 530243431265095, 530243431498574
530243431509722, 530243431859218, 530243431948013, 530243431953587, 530243432140770, 530243461772632, 530243461782151, 530243462018907
530243462030851, 530243462352700, 530243462427310, 530243462432532, 530243462569993, 530243491837656, 530243491847693, 530243492119968
530243492574574, 530243492755720, 530243492765257, 530243492768849, 530243492804145, 530243522059252, 530243522071419, 530243522296231
530243522311397, 530243522625986, 530243522706430, 530243522713319, 530243522861373, 530243552162276, 530243552173109, 530243552402458
530243552411662, 530243552722825, 530243552803009, 530243552808676, 530243552958285, 530243582264003, 530243582272225, 530243582495000
530243582505204, 530243582803515, 530243582879273, 530243582884199, 530243583008568, 530243612466044, 530243612477284, 530243612657523
530243612665449, 530243612953168, 530243613020352, 530243613025333, 530243613153387, 530243642405995, 530243642417550, 530243642600381
530243642610826, 530243642928026, 530243643003340, 530243643008525, 530243643157782, 530243672799700, 530243672816070, 530243673034882
530243673041549, 530243673329990, 530243673397286, 530243673402545, 530243673527710, 530243704235801, 530243704246949, 530243704438280
530243704443835, 530243704724739, 530243704799590, 530243704804739, 530243704928867, 530243736059712, 530243736072360, 530243736234710
530243736241339, 530243736502281, 530243736575576, 530243736580465, 530243736697038, 530243766441010, 530243766450547, 530243766583712
530243766593008, 530243766827301, 530243766899560, 530243766904708, 530243767019188, 530243797779871, 530243797795759, 530243798019997
530243798027349, 530243798306587, 530243798380104, 530243798385364, 530243798511973, 530243827791802, 530243827801562, 530243827938190
530243827946356, 530243828201946, 530243828267204, 530243828272167, 530243828385981, 530243857630959, 530243857640162, 530243857779624
530243857787105, 530243858027861, 530243858093879, 530243858098583, 530243858206470, 530243888869506, 530243888876524, 530243888985875
530243888995079, 530243889206835, 530243889278575, 530243889283446, 530243889393889, 530243918649089, 530243918661514, 530243918881308
530243918891641, 530243919174712, 530243919249359, 530243919254415, 530243919388654, 530243948648817, 530243948660520, 530243948840648
530243948851629, 530243949134311, 530243949207255, 530243949212162, 530243949345105, 530243978585546, 530243978593231, 530243978703767
530243978711656, 530243978937449, 530243979005337, 530243979010263, 530243979117003, 530244008470868, 530244008481961, 530244008645051
530244008653977, 530244008905585, 530244008981547, 530244008987325, 530244009112027, 530244038387449, 530244038398023, 530244038619743
530244038631372, 530244038923851, 530244039001942, 530244039006794, 530244039132718, 530244068387492, 530244068394715, 530244068524787
530244068536972, 530244068771544, 530244068835969, 530244068840932, 530244068946671, 530244098546182, 530244098559237, 530244098715143
530244098721921, 530244098972251, 530244099039065, 530244099044028, 530244099158508, 530244129924339, 530244129934098, 530244130084059
530244130093429, 530244130357389, 530244130431518, 530244130436759, 530244130559887, 530244159819605, 530244159831550, 530244160074602
530244160085695, 530244160376117, 530244160447042, 530244160451820, 530244160584208, 530244189811334, 530244189818519, 530244189934240
530244189943665, 530244190163737, 530244190224033, 530244190228996, 530244190343161, 530244221008419, 530244221020067, 530244221198713
530244221209453, 530244221515098, 530244221586004, 530244221590967, 530244221726484, 530244250983184, 530244250992129, 530244251110775
