Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130401324146270, 1130401324147011, 1130401324182825, 1130401324197140, 1130401324228436, 1130401325031130, 8191
1130401325136611, 1130401325137333, 1130401325168221, 1130401325182851, 1130401325214110, 1130401326026341, 8192
1130401326067526, 1130401326068267, 1130401326099192, 1130401326115192, 1130401326155544, 1130401327036960, 8191
1130401330036259, 1130401330036981, 1130401330140350, 1130401330158646, 1130401330331681, 1130401331849368, 16383
1130401332680896, 1130401332681618, 1130401332727321, 1130401332740876, 1130401332766895, 1130401333701569, 8192
1130401333749328, 1130401333749939, 1130401333775198, 1130401333788624, 1130401333821827, 1130401334608633, 8191
1130401334639373, 1130401334639966, 1130401334668132, 1130401334681984, 1130401334711336, 1130401335642899, 8192
1130401335675658, 1130401335676251, 1130401335703398, 1130401335717343, 1130401335748361, 1130401336583092, 8191
1130401336710368, 1130401336710961, 1130401336742831, 1130401336756498, 1130401336784127, 1130401337559766, 8192
1130401337585803, 1130401337586396, 1130401337613062, 1130401337627525, 1130401337657080, 1130401338411720, 8191
1130401338440553, 1130401338441164, 1130401338467515, 1130401338481663, 1130401338506181, 1130401339254043, 8192
1130401339279006, 1130401339279599, 1130401339304098, 1130401339317654, 1130401339343246, 1130401340261976, 8191
1130401340343846, 1130401340344438, 1130401340375568, 1130401340388901, 1130401340418308, 1130401341394612, 8192
1130401341422778, 1130401341423371, 1130401341450611, 1130401341465240, 1130401341493481, 1130401342274028, 8191
1130401342298972, 1130401342299768, 1130401342325009, 1130401342339842, 1130401342367508, 1130401343237683, 8192
1130401344825054, 1130401344825925, 1130401344911572, 1130401344928646, 1130401344963256, 1130401345883690, 8192
1130401345937968, 1130401345938616, 1130401345977171, 1130401345992541, 1130401346034837, 1130401346930938, 8191
1130401349238986, 1130401349239615, 1130401349339392, 1130401349357188, 1130401349523075, 1130401351044984, 16383
1130401351896011, 1130401351896715, 1130401351930918, 1130401351944066, 1130401351981992, 1130401352924351, 8192
1130401353011202, 1130401353011832, 1130401353047350, 1130401353061109, 1130401353098090, 1130401353876396, 8191
1130401353958080, 1130401353958710, 1130401353986154, 1130401354000506, 1130401354027654, 1130401354792645, 8192
1130401354869255, 1130401354869885, 1130401354897811, 1130401354911607, 1130401354942940, 1130401355711153, 8191
1130401355818800, 1130401355819430, 1130401355845189, 1130401355859633, 1130401355885373, 1130401356688994, 8192
1130401356762975, 1130401356763567, 1130401356792159, 1130401356805863, 1130401356833918, 1130401357616613, 8191
1130401357691742, 1130401357692390, 1130401357719297, 1130401357733778, 1130401357760297, 1130401358528955, 8192
1130401358622361, 1130401358622991, 1130401358669249, 1130401358685045, 1130401358724193, 1130401359621979, 8191
1130401360814614, 1130401360815466, 1130401360884409, 1130401360900872, 1130401360935779, 1130401361848787, 8192
1130401361954860, 1130401361955490, 1130401361999582, 1130401362013823, 1130401362054655, 1130401364370148, 8191
1130401364488035, 1130401364488646, 1130401364579645, 1130401364597497, 1130401364641682, 1130401365454839, 8192
1130401365541968, 1130401365542597, 1130401365573597, 1130401365587652, 1130401365617911, 1130401366391662, 8191
1130401366503290, 1130401366503920, 1130401366532271, 1130401366547067, 1130401366575715, 1130401367334151, 8192
1130401367408743, 1130401367409354, 1130401367434280, 1130401367448650, 1130401367476094, 1130401368306825, 8191
1130401368384195, 1130401368384806, 1130401368416417, 1130401368430398, 1130401368457787, 1130401369227315, 8192
1130401369304758, 1130401369305407, 1130401369330240, 1130401369343925, 1130401369371017, 1130401370361765, 8191
1130401370487708, 1130401370488338, 1130401370528115, 1130401370543948, 1130401370577040, 1130401371451142, 8192
1130401371485363, 1130401371485974, 1130401371513456, 1130401371527289, 1130401371559474, 1130401372549425, 8191
